customer_account_number,to_recipient_customer_account,old_balance,transaction_amount,new_balance,tp_recipient_customer_account_balance,transaction_time_in_ms,transaction_frequency,average_transaction_amount,account_age_days,method_of_transaction,transaction_currency,location_data,device_used,kyc_status,label_for_fraud,smurfing_indicator,previous_fraud_flag,transaction_id,timestamp,risk_score,risk_explanation
20917,57748,22554.54171340786,40967.87776778455,-18413.33605437669,85716.43264964776,4107,20,4030.9348236044,438,NEFT,GBP,Chennai,BRANCH,PENDING,1,1,0,T00078330,2021-09-07 00:00:00,90,"The transaction exhibits several high-risk indicators. The transaction amount is unusually large, exceeding the threshold defined in Rule 1. Additionally, the 'smurfing_indicator' flag is set to 1, triggering Rule 2 and indicating potential money laundering activities. The 'label_for_fraud' flag is also set to 1, confirming a previous instance of fraudulent activity associated with this account, further escalating the risk level."
20917,67478,84605.46742524838,39268.832574288994,45336.63485095939,48812.9112344758,1122,29,8693.234839422905,3342,NEFT,USD,Hyderabad,PHONE_BANKING,PARTIAL,1,0,0,T00189833,2020-10-12 00:00:00,90,"The transaction is flagged as high risk due to the 'label_for_fraud' being 1, indicating a previous association with fraudulent activity. This overrides any other factors."
20917,88525,18255.20304283874,27219.76637693007,-8964.56333409133,72962.43861884829,4599,2,8990.055494629647,2192,DIRECT_TRANSFER,INR,Ahmedabad,ATM,FULL,0,0,0,T00029022,2022-07-03 00:00:00,0,"The transaction presents no significant risk factors based on the current rule base. The transaction amount is above average but not unusually large, the account is old, has full KYC verification, and shows no history of fraud or suspicious activity."
20917,99056,77792.60650340801,33956.578255813845,43836.02824759416,8205.041182764931,638,26,9883.958079066591,256,DIRECT_TRANSFER,GBP,Delhi,WEB_BROWSER,PARTIAL,0,0,0,T00129385,2023-06-27 00:00:00,50,"The transaction presents a medium risk level. While the transaction amount is significant, it does not exceed the threshold for a high-risk classification. The account is not new and has no history of fraud or suspicious activity. However, the KYC status is 'PARTIAL', which contributes to the medium risk score."
20917,21510,64235.7368364822,27571.349216063903,36664.38762041829,83092.69673841444,570,24,7793.900726730831,1101,UPI,GBP,Kolkata,PHONE_BANKING,PARTIAL,0,0,1,T00151970,2021-05-02 00:00:00,90,"The transaction is flagged as high risk due to the 'previous_fraud_flag' being 1. This indicates that the account has been previously involved in fraudulent activity, which significantly increases the likelihood of this transaction being fraudulent as well.  Other factors like transaction amount and account age are not significant enough to override this high-risk indicator."
20917,72020,86247.3635659615,36534.767009622105,49712.59655633939,90237.1895670245,2290,27,5862.533002159078,548,DIRECT_TRANSFER,GBP,Bangalore,WEB_BROWSER,FULL,0,0,1,T00071975,2021-12-23 00:00:00,90,"The transaction is flagged as Very High risk due to the 'previous_fraud_flag' being set to 1. This indicates that the account has been previously involved in fraudulent activity, making it highly susceptible to further fraudulent transactions."
20917,54112,28406.707832595406,18628.921574709588,9777.786257885818,88560.0917020684,4409,4,4384.524236012095,638,RTGS,INR,Kolkata,MOBILE_APP,PENDING,1,0,0,T00018252,2021-12-01 00:00:00,65,"The transaction presents a medium risk. While the transaction amount is significant, it does not exceed the threshold for a high-risk classification.  The primary risk factor is the 'PENDING' KYC status, which indicates incomplete verification. This suggests a potential for higher risk associated with the account."
20917,26969,98947.80707822372,41238.17896268274,57709.628115541,7453.851081341174,2797,30,8576.134828351824,3067,IMPS,GBP,Chennai,WEB_BROWSER,PARTIAL,0,0,1,T00186562,2023-12-17 00:00:00,90,"The transaction presents a very high risk due to the 'previous_fraud_flag' being 1. This indicates the account has a history of fraudulent activity, overriding any other factors. "
20917,42154,100304.3234457946,13461.048864588462,86843.27458120613,435.0655140111721,2109,29,2429.6093373913795,259,IMPS,INR,Kolkata,MOBILE_APP,PARTIAL,0,0,0,T00174114,2021-07-27 00:00:00,50,"The transaction presents a medium risk level. While the transaction amount is significant, it does not exceed the threshold for a high-risk classification. The account is not new and has no history of fraudulent activity.  However, the KYC status is 'PARTIAL', which contributes to a medium risk score."
20917,70929,99829.77756347702,31838.496101224104,67991.28146225293,23785.010927781044,1260,21,5494.5319347156,2907,NEFT,INR,Hyderabad,WEB_BROWSER,MINIMAL,0,0,0,T00017990,2020-01-18 00:00:00,50,"The transaction presents a medium risk level. The primary factor contributing to this assessment is the 'MINIMAL' KYC status of the customer account. While the transaction amount is significant, it does not exceed the threshold for triggering a higher risk score.  The account is relatively old, and there are no indicators of smurfing or previous fraudulent activity."
