customer_account_number,to_recipient_customer_account,old_balance,transaction_amount,new_balance,tp_recipient_customer_account_balance,transaction_time_in_ms,transaction_frequency,average_transaction_amount,account_age_days,method_of_transaction,transaction_currency,location_data,device_used,kyc_status,label_for_fraud,smurfing_indicator,previous_fraud_flag,transaction_id,timestamp,IFSC CODE,IP ADDRESS,MAC address,NARRATION,ECOMMERCE PLATFORM,,,,,,,,,,,,,,,,,,,
37962,17384,71234.21,12894.54,58339.67,63821.9,853,4,-924.12,1487,6,INR,India,ATM,FULL,1,0,1,T00000001,05-04-2025 15:36,HDFC0001234,192.168.0.2,5C:AF:24:9B:3D:E1,User made a normal bank transfer,null,,,,,,,,,,,,,,,,,,,
59218,67821,54120,21345.87,32774.13,74812.67,761,3,1302.87,1211,2,INR,India,Laptop,PARTIAL,0,0,0,T00000002,05-04-2025 15:36,SBIN0000234,10.0.0.11,21:65:9F:DD:34:2B,User purchased from Flipkart,Flipkart,,,,,,,,,,,,,,,,,,,
82745,30987,89321.74,18432.28,70889.46,62321.45,690,1,1098.41,1564,4,INR,India,Mobile,FULL,0,1,0,T00000003,05-04-2025 15:36,ICIC0000456,172.16.3.7,0A:BC:DE:FF:11:22,User made a normal bank transfer,null,,,,,,,,,,,,,,,,,,,
43719,98423,61235.88,12485.17,48750.71,48213.98,824,2,1948.52,1692,7,INR,India,Desktop,NONE,1,0,1,T00000004,05-04-2025 15:36,AXIS0000312,192.168.1.54,9E:1D:6A:3B:4F:AA,User purchased from Amazon,Amazon,,,,,,,,,,,,,,,,,,,
21873,49713,75820.11,27100.45,48719.66,62942.3,703,5,-1873.77,954,1,INR,India,ATM,FULL,0,0,0,T00000005,05-04-2025 15:36,HDFC0000987,10.0.2.9,6D:44:C3:2A:11:EF,User made a normal bank transfer,null,,,,,,,,,,,,,,,,,,,
65217,32041,38211.67,9453.28,28758.39,15438.56,867,6,1745.56,1393,0,INR,United States,Laptop,PARTIAL,0,1,0,T00000006,05-04-2025 15:36,SBIN0001234,192.168.10.20,72:1A:5F:8C:90:D1,User purchased from Etsy,Etsy,,,,,,,,,,,,,,,,,,,
39128,58264,61125.32,20453.67,40671.65,59123.34,600,2,1104.23,1239,3,INR,India,Mobile,FULL,1,0,0,T00000007,05-04-2025 15:36,ICIC0000889,10.0.0.30,43:FF:88:3C:2D:10,User made a normal bank transfer,null,,,,,,,,,,,,,,,,,,,
73145,90238,50100.45,11234.75,38865.7,47382.9,744,8,-1543.56,1170,8,INR,India,Desktop,NONE,0,0,1,T00000008,05-04-2025 15:36,AXIS0000456,192.168.2.4,11:22:33:44:55:66,User purchased from eBay,eBay,,,,,,,,,,,,,,,,,,,
86420,14523,92000,32890.67,59109.33,68124.21,834,3,2431.87,1658,5,INR,Germany,Mobile,FULL,1,1,0,T00000009,05-04-2025 15:36,HDFC0000678,10.1.0.11,AA:BB:CC:DD:EE:FF,User purchased from Target,Target,,,,,,,,,,,,,,,,,,,
13579,76531,63214.91,15348.19,47866.72,29431.27,719,1,1523.77,998,2,INR,India,Laptop,PARTIAL,0,0,0,T00000010,05-04-2025 15:36,SBIN0000123,192.168.100.100,7F:6E:5D:4C:3B:2A,User made a normal bank transfer,null,,,,,,,,,,,,,,,,,,,
72894,58299,74880.9,9860.44,65020.46,42194.8,648,4,-656.17,657,0,INR,UAE,Mobile,PARTIAL,1,1,1,T00000011,05-04-2025 18:57,ICIC0000456,171.133.10.41,E7:14:63:F4:65:00,User purchased from Walmart,Walmart,,,,,,,,,,,,,,,,,,,
83453,89717,68389.56,25739,42650.56,13729.7,530,5,148.66,420,1,INR,India,Laptop,NONE,1,1,0,T00000012,05-04-2025 18:58,HDFC0001234,54.61.252.164,55:57:AE:B0:AF:BF,User purchased from eBay,eBay,,,,,,,,,,,,,,,,,,,
86881,74036,71515.05,25156.96,46358.09,27741.19,748,6,1539.8,1828,7,INR,Germany,ATM,PARTIAL,1,0,0,T00000013,05-04-2025 19:14,SBIN0001234,117.147.67.236,DF:1A:1F:77:8C:74,User purchased from eBay,eBay,,,,,,,,,,,,,,,,,,,
15122,72197,83550.29,6189.77,77360.52,11993.86,570,4,776.61,879,6,INR,Switzerland,Desktop,NONE,1,0,1,T00000014,05-04-2025 19:14,SBIN0001234,58.174.98.151,93:4F:85:EF:9E:FB,User purchased from Best Buy,Best Buy,,,,,,,,,,,,,,,,,,,
24258,50736,55438.34,25641.83,29796.51,86783.27,670,4,-1581.05,460,8,INR,Italy,Mobile,FULL,0,1,1,T00000015,05-04-2025 19:14,AXIS0000312,72.177.6.203,C9:F4:1A:58:FD:2E,User purchased from Etsy,Etsy,,,,,,,,,,,,,,,,,,,
22127,61009,79177.98,13248.76,65929.22,18308.93,793,3,-334.77,1515,0,INR,Brazil,Mobile,FULL,0,0,0,T00000016,05-04-2025 19:14,HDFC0000678,113.198.148.206,09:CC:F4:1B:EB:7D,User purchased from BigCommerce,BigCommerce,,,,,,,,,,,,,,,,,,,
14760,31284,49411.38,14830.14,34581.24,33372.39,525,7,1036.98,1022,0,INR,United States,Mobile,FULL,1,1,0,T00000017,05-04-2025 19:14,ICIC0000889,71.34.255.36,E0:1C:37:92:07:BD,User purchased from Wayfair,Wayfair,,,,,,,,,,,,,,,,,,,
13403,36613,73720.59,15078.61,58641.98,52910.74,700,8,-490.74,418,0,INR,India,Mobile,PARTIAL,0,0,0,T00000018,05-04-2025 19:14,HDFC0000678,93.1.155.253,B8:28:B9:E8:52:59,User purchased from Wayfair,Wayfair,,,,,,,,,,,,,,,,,,,
82817,58360,82192.09,19405.49,62786.6,85470.65,818,6,-1283.76,1851,5,INR,South Korea,Mobile,NONE,0,0,0,T00000019,05-04-2025 19:14,ICIC0000456,218.184.245.113,1D:0D:BE:98:B1:36,User made a normal bank transfer,null,,,,,,,,,,,,,,,,,,,
58248,27060,97844.63,25941.74,71902.89,15765.01,661,2,-561.37,1331,3,INR,Brazil,ATM,PARTIAL,0,0,1,T00000020,05-04-2025 19:14,HDFC0000678,45.150.146.166,A8:1E:F0:A0:E1:D3,User purchased from Wix,Wix,,,,,,,,,,,,,,,,,,,
85001,89448,93900.03,13181.13,80718.9,75004.79,772,3,1910.92,1786,3,INR,United States,Laptop,NONE,0,0,1,T00000021,05-04-2025 19:14,AXIS0000312,88.254.176.232,7E:F9:46:37:D9:63,User made a normal bank transfer,null,,,,,,,,,,,,,,,,,,,
84747,60511,78097.55,17775.93,60321.62,38323.91,532,5,-1190.98,294,4,INR,France,Desktop,PARTIAL,1,0,0,T00000022,05-04-2025 19:14,SBIN0001234,153.48.4.43,2D:A2:C2:77:01:06,User purchased from Target,Target,,,,,,,,,,,,,,,,,,,
22988,23292,47536.04,5087.97,42448.07,88518.3,638,2,-1464.92,330,2,INR,France,Mobile,PARTIAL,0,0,1,T00000023,05-04-2025 19:14,ICIC0000456,187.197.221.138,94:80:DE:A1:C3:5C,User purchased from Home Depot,Home Depot,,,,,,,,,,,,,,,,,,,
84747,59253,67775.24,16438.85,51336.39,51804.01,638,5,721.43,356,2,INR,China,Mobile,FULL,1,0,0,T00000024,05-04-2025 19:14,HDFC0000678,22.221.185.114,68:76:14:3C:E4:F3,User purchased from Walmart,Walmart,,,,,,,,,,,,,,,,,,,
65578,75286,70042.19,27706.62,42335.57,20357.91,873,4,-281.1,1723,7,INR,Spain,Laptop,FULL,1,0,0,T00000025,05-04-2025 19:14,SBIN0000234,179.116.246.129,91:0D:8C:D9:ED:9A,User purchased from Shopify,Shopify,,,,,,,,,,,,,,,,,,,
24484,96968,56247.21,29064.75,27182.46,60082.61,893,8,1569.98,140,3,INR,Singapore,Laptop,FULL,0,1,1,T00000026,05-04-2025 19:14,SBIN0000234,97.110.154.141,AB:A0:81:A0:C6:52,User purchased from Flipkart,Flipkart,,,,,,,,,,,,,,,,,,,
15122,26392,20602.06,7903.58,12698.48,81142.64,678,5,1207.13,1611,7,INR,Turkey,Laptop,FULL,0,0,0,T00000027,05-04-2025 19:14,HDFC0001234,243.222.208.9,FA:F2:50:05:D6:05,User purchased from eBay,eBay,,,,,,,,,,,,,,,,,,,
37237,41079,33589.86,29022.43,4567.43,83514.56,734,2,1344.01,877,1,INR,Netherlands,ATM,NONE,1,0,0,T00000028,05-04-2025 19:14,HDFC0000678,172.18.104.154,B2:F4:D3:1D:5F:5A,User purchased from Shopify,Shopify,,,,,,,,,,,,,,,,,,,
28004,21884,86613.67,6658.52,79955.15,31273.69,705,4,-993.72,1707,0,INR,Italy,ATM,NONE,0,0,1,T00000029,05-04-2025 19:14,HDFC0001234,172.10.118.163,D4:C2:5D:40:63:A2,User purchased from Costco,Costco41608,,,,,,,,,,,,,,,,,,,
42746,98292,93918.56,43774.58,50143.98,13578.46,481,7,-1886.82,212,4,INR,Guernsey,Mobile,NONE,1,0,1,T00000031,05-04-2025 19:32,ICIC0000889,116.71.71.139,C0:F7:96:77:19:13,User purchased from eBay,eBay,,,,,,,,,,,,,,,,,,,
78108,24007,148640.67,30391.57,118249.1,12118.03,514,7,237.72,2661,1,INR,Jersey,Tablet,PARTIAL,0,0,1,T00000032,05-04-2025 19:32,ICIC0000889,200.122.126.2,C5:66:8C:90:0A:D4,User purchased from Etsy,Etsy,,,,,,,,,,,,,,,,,,,
34291,13205,42431.36,40480.6,1950.76,37731.81,589,10,1037.31,1260,5,INR,Costa Rica,ATM,FULL,1,0,0,T00000033,05-04-2025 19:32,HDFC0001234,224.77.190.154,35:31:C4:64:16:31,User purchased from Best Buy,Best Buy,,,,,,,,,,,,,,,,,,,
42746,15534,24960.42,32809.57,-7849.15,59967.89,415,8,-1317.18,1631,3,INR,Brazil,ATM,NONE,1,1,0,T00000034,05-04-2025 19:32,ICIC0000889,33.16.198.89,53:8E:DA:76:EE:1D,User purchased from Walmart,Walmart,,,,,,,,,,,,,,,,,,,
34291,82591,16552.96,28490.6,-11937.64,86080.37,899,5,1572.82,1186,1,INR,Western Sahara,Mobile,PARTIAL,1,0,0,T00000035,05-04-2025 19:32,HDFC0001234,12.131.108.178,3D:F8:02:C7:3E:56,User purchased from Target,Target,,,,,,,,,,,,,,,,,,,
87464,90128,97696.67,3389.62,94307.05,25187.74,671,8,-2476.67,1932,5,INR,Burundi,Tablet,PARTIAL,1,0,1,T00000036,05-04-2025 19:32,SBIN0001234,211.93.220.36,D7:4E:AF:DB:DA:29,User made a normal transfer,null,,,,,,,,,,,,,,,,,,,
38425,52824,57101.16,44939.36,12161.8,96306.59,580,10,32.24,2533,7,INR,Nigeria,Desktop,PARTIAL,1,0,1,T00000037,05-04-2025 19:32,ICIC0000889,32.105.25.128,03:AF:71:5B:77:94,User purchased from Shopify,Shopify,,,,,,,,,,,,,,,,,,,
42746,92302,82409.63,49640.84,32768.79,98733.32,426,8,-934.95,2951,6,INR,Hungary,ATM,NONE,0,0,0,T00000038,05-04-2025 19:32,SBIN0001234,42.126.225.139,EB:66:5C:29:15:B9,User purchased from Walmart,Walmart,,,,,,,,,,,,,,,,,,,
41608,45201,78821.2,49063.48,29757.72,47873.57,536,7,2241.27,2270,2,INR,Luxembourg,POS,FULL,0,0,1,T00000039,05-04-2025 19:32,AXIS0000312,1.172.3.176,AC:12:A0:A1:33:05,User made a normal transfer,null,,,,,,,,,,,,,,,,,,,
34291,53400,52351.86,5164.17,47187.69,79923.5,745,3,1532.08,446,0,INR,Jordan,POS,PARTIAL,0,1,0,T00000040,05-04-2025 19:32,HDFC0001234,45.202.208.117,CE:10:BE:3E:B8:CB,User made a normal transfer,null,,,,,,,,,,,,,,,,,,,
38425,38793,102862.21,34470.72,68391.49,32253.64,408,8,1433.11,2581,3,INR,Bouvet Island (Bouvetoya),Laptop,FULL,1,1,0,T00000041,05-04-2025 19:32,AXIS0000312,71.193.201.48,1F:B6:FB:14:E0:93,User purchased from Walmart,Walmart,,,,,,,,,,,,,,,,,,,
38425,30046,90663.53,7236.58,83426.95,10490.91,853,7,-1903.8,2631,4,INR,Montserrat,Tablet,PARTIAL,1,0,0,T00000042,05-04-2025 19:32,ICIC0000456,5.245.70.70,48:FC:5C:3D:D3:4C,User purchased from eBay,eBay,,,,,,,,,,,,,,,,,,,
